max_tree_size,theta_uni,theta_bi,theta_tri,avg_acceptance,speedup
4,0.8,0.2,0.1,5.05,2.22
4,0.8,0.25,0.1,5.04,2.23
4,0.8,0.3,0.1,5.06,2.23
4,0.8,0.35,0.1,5.08,2.23
4,0.85,0.2,0.1,5.03,2.22
4,0.85,0.25,0.1,5.03,2.2
4,0.85,0.3,0.1,5.06,2.24
4,0.85,0.35,0.1,5.07,2.23
4,0.9,0.2,0.1,5.03,2.2
4,0.9,0.25,0.1,5.03,2.21
4,0.9,0.3,0.1,5.06,2.23
4,0.9,0.35,0.1,5.07,2.25
4,0.92,0.2,0.1,5.03,2.22
4,0.92,0.25,0.1,5.03,2.23
4,0.92,0.3,0.1,5.06,2.22
4,0.92,0.35,0.1,5.07,2.24
4,0.95,0.2,0.1,5.03,2.24
4,0.95,0.25,0.1,5.03,2.21
4,0.95,0.3,0.1,5.06,2.24
4,0.95,0.35,0.1,5.07,2.22
6,0.8,0.2,0.1,5.12,2.19
6,0.8,0.25,0.1,5.1,2.18
6,0.8,0.3,0.1,5.16,2.16
6,0.8,0.35,0.1,5.19,2.15
6,0.85,0.2,0.1,5.15,2.2
6,0.85,0.25,0.1,5.1,2.16
6,0.85,0.3,0.1,5.16,2.17
6,0.85,0.35,0.1,5.18,2.15
6,0.9,0.2,0.1,5.15,2.2
6,0.9,0.25,0.1,5.1,2.18
6,0.9,0.3,0.1,5.16,2.16
6,0.9,0.35,0.1,5.18,2.13
6,0.92,0.2,0.1,5.15,2.19
6,0.92,0.25,0.1,5.1,2.17
6,0.92,0.3,0.1,5.16,2.16
6,0.92,0.35,0.1,5.18,2.15
6,0.95,0.2,0.1,5.15,2.19
6,0.95,0.25,0.1,5.1,2.16
6,0.95,0.3,0.1,5.16,2.16
6,0.95,0.35,0.1,5.18,2.13
8,0.8,0.2,0.1,5.2,1.93
8,0.8,0.25,0.1,5.17,1.94
8,0.8,0.3,0.1,5.14,1.91
8,0.8,0.35,0.1,5.19,1.98
8,0.85,0.2,0.1,5.19,1.93
8,0.85,0.25,0.1,5.17,1.91
8,0.85,0.3,0.1,5.14,1.92
8,0.85,0.35,0.1,5.19,1.97
8,0.9,0.2,0.1,5.19,1.93
8,0.9,0.25,0.1,5.17,1.95
8,0.9,0.3,0.1,5.14,1.9
8,0.9,0.35,0.1,5.19,1.98
8,0.92,0.2,0.1,5.19,1.92
8,0.92,0.25,0.1,5.17,1.93
8,0.92,0.3,0.1,5.14,1.93
8,0.92,0.35,0.1,5.19,1.99
8,0.95,0.2,0.1,5.19,1.91
8,0.95,0.25,0.1,5.17,1.93
8,0.95,0.3,0.1,5.14,1.92
8,0.95,0.35,0.1,5.19,1.99
10,0.8,0.2,0.1,5.19,1.93
10,0.8,0.25,0.1,5.19,1.92
10,0.8,0.3,0.1,5.15,1.92
10,0.8,0.35,0.1,5.24,1.95
10,0.85,0.2,0.1,5.16,1.95
10,0.85,0.25,0.1,5.19,1.94
10,0.85,0.3,0.1,5.15,1.91
10,0.85,0.35,0.1,5.24,1.98
10,0.9,0.2,0.1,5.16,1.92
10,0.9,0.25,0.1,5.19,1.92
10,0.9,0.3,0.1,5.15,1.91
10,0.9,0.35,0.1,5.24,1.97
10,0.92,0.2,0.1,5.16,1.94
10,0.92,0.25,0.1,5.19,1.93
10,0.92,0.3,0.1,5.15,1.91
10,0.92,0.35,0.1,5.24,1.96
10,0.95,0.2,0.1,5.16,1.94
10,0.95,0.25,0.1,5.19,1.94
10,0.95,0.3,0.1,5.15,1.9
10,0.95,0.35,0.1,5.24,1.99
12,0.8,0.2,0.1,5.15,1.81
12,0.8,0.25,0.1,5.17,1.83
12,0.8,0.3,0.1,5.18,1.77
12,0.8,0.35,0.1,5.19,1.78
12,0.85,0.2,0.1,5.21,1.83
12,0.85,0.25,0.1,5.17,1.83
12,0.85,0.3,0.1,5.19,1.79
12,0.85,0.35,0.1,5.18,1.75
12,0.9,0.2,0.1,5.21,1.82
12,0.9,0.25,0.1,5.17,1.81
12,0.9,0.3,0.1,5.19,1.78
12,0.9,0.35,0.1,5.18,1.76
12,0.92,0.2,0.1,5.21,1.83
12,0.92,0.25,0.1,5.17,1.82
12,0.92,0.3,0.1,5.19,1.76
12,0.92,0.35,0.1,5.18,1.77
12,0.95,0.2,0.1,5.21,1.84
12,0.95,0.25,0.1,5.17,1.82
12,0.95,0.3,0.1,5.19,1.78
12,0.95,0.35,0.1,5.18,1.76
