commit	dataset	speedup	tau	avg_nodes	status	description
08ccb6b	mt-bench	3.81	5.60	70.00	keep	v4 fixed baseline (ek=3 mts=32)
08ccb6b	mt-bench	3.69	5.46	51.67	discard	v4 + EWMA (tree+ek 2-5 decay=0.8 min_ts=12) - does not reproduce 4.65 back-to-back
08ccb6b	mt-bench	3.66	5.59	84.23	discard	v6 density-greedy alpha=0 mts=32 ek=3 - MORE nodes than v4 at matched tau
08ccb6b	mt-bench	3.23	4.62	12.93	discard	v6 alpha=20 self-sizing mts=64 ek=3 - trees collapse to 13 nodes
08ccb6b	mt-bench	3.58	5.21	25.10	discard	v6 alpha=100 self-sizing mts=64 ek=3 - still too small (25 nodes)
08ccb6b	mt-bench	3.80	5.86	68.57	keep	v6 alpha=500 mts=64 ek=5 - tau+4.6% same speedup, needs ek ablation
08ccb6b	mt-bench	4.01	5.73	59.00	keep	v4 fixed ek=5 mts=32 - BEST RESULT +5.2% speedup over ek=3 baseline
08ccb6b	mt-bench	4.12	5.81	55.00	keep	v4 fixed ek=7 mts=32 - NEW BEST +8.1% speedup
08ccb6b	mt-bench	4.08	5.77	53.00	discard	v4 fixed ek=10 mts=32 - slight regression from ek=7 peak
08ccb6b	gsm8k	6.72	8.26	55.00	keep	v4 fixed ek=7 mts=32 - generalizes to gsm8k vs prog.md baseline 6.65
08ccb6b	humaneval	7.01	8.53	55.00	keep	v4 fixed ek=7 mts=32 - generalizes to humaneval
08ccb6b	gsm8k	6.62	8.23	70.00	keep	v4 fixed ek=3 fresh baseline for comparison
08ccb6b	humaneval	6.89	8.55	70.00	keep	v4 fixed ek=3 fresh baseline for comparison
08ccb6b	mt-bench-t0.6	4.08	5.92	55.00	keep	v4 fixed ek=7 mts=32 temp=0.6 - sampling robust
08ccb6b	mt-bench-t0.6	3.91	5.83	70.00	keep	v4 fixed ek=3 temp=0.6 baseline for comparison
08ccb6b	alpaca	3.27	4.42	55.00	keep	v4 fixed ek=7 mts=32 on alpaca
08ccb6b	alpaca	3.05	4.23	70.00	keep	v4 fixed ek=3 alpaca baseline for comparison
08ccb6b	mt-bench	4.05	5.70	46.00	discard	v4 ek=7 mts=24 - slight regression vs mts=32
08ccb6b	mt-bench	3.99	5.66	41.00	discard	v4 ek=7 + EWMA tree-size only - stacking EWMA hurts in comm-bound regime
08ccb6b	mt-bench	4.14	5.85	54.00	keep	v4 fixed ek=8 mts=32 - NEW BEST (marginal over ek=7)
08ccb6b	mt-bench	4.07	5.82	53.00	discard	v4 ek=9 - slight regression from ek=8 peak
08ccb6b	swe-bench	3.99	4.83	70.00	keep	v4 fixed ek=3 swe-bench baseline for comparison
08ccb6b	mt-bench	4.04	5.85	74.00	discard	v4 ek=7 mts=48 - larger trees regress speedup
e252f8d	math500	7.29	10.35	257.00	discard	v7 α=1.0 β=0.5 mts=256 — identical to baseline, β too weak
e252f8d	math500	7.23	10.31	257.00	discard	v7 α=1.0 β=1.0 mts=256 — β=1 still ineffective
e252f8d	math500	7.24	10.37	257.00	discard	v7 α=0.95 β=0.0 mts=256 — depth discount alone no effect
e252f8d	math500	7.22	10.37	257.00	discard	v7 α=0.95 β=0.5 mts=256 — combined knobs no effect
e252f8d	math500	7.08	10.28	257.00	discard	v7 α=0.9 β=0.5 mts=256 — slight regression
cb34c3c	math500	8.22	10.08	129.00	keep	v7 mts=128 ek=8 with GPU-vectorized tree_attn_mask — +3% speedup vs 7.98
0011d9a	math500	8.36	10.38	129.00	keep	v7 mts=128 ek=8 32-sample replication of 8.22 baseline
0011d9a	math500	7.00	9.08	129.00	discard	Q4 continuous calibration — regression due to Laplace bias
0011d9a	math500	6.94	9.13	129.00	discard	Q4b dev-conditional replace — regression
0011d9a	math500	7.88	10.06	129.00	discard	Q4b dev-conditional additive λ=1 — still regression
0011d9a	math500	8.14	10.33	129.00	discard	Q4b λ=0 sanity — overhead 2-3% vs baseline
0011d9a	math500	7.58	10.39	257.00	discard	Q4b λ=1 mts=256 — worse than baseline
0011d9a	math500	8.35	10.20	129.00	discard	NW2 narrow-after-dev=2 mts=128 — tie with baseline
0011d9a	math500	8.10	10.39	257.00	keep	NW2 mts=256 — beats baseline 8.02 at same B
0011d9a	math500	6.89	10.53	513.00	keep	NW2 mts=512 — beats baseline 6.48 at same B
0011d9a	math500	8.02	10.68	257.00	keep	baseline v7 mts=256 32 samples
0011d9a	math500	6.48	10.96	513.00	keep	baseline v7 mts=512 32 samples
0011d9a	math500	8.19	10.25	97.00	discard	baseline v7 mts=96 32 samples
0011d9a	math500	8.23	10.44	145.00	discard	baseline v7 mts=144 32 samples
0011d9a	math500	8.16	10.49	161.00	discard	baseline v7 mts=160 32 samples
0011d9a	math500	8.17	10.53	193.00	discard	baseline v7 mts=192 32 samples
0011d9a	math500	8.13	10.48	129.00	discard	v7 mts=128 ek=16 — slight regression
